,airline,departure_time,stops,class,duration,days_left,price
150830,Vistara,Evening,one,Economy,28.0,31,5910
30474,AirAsia,Evening,one,Economy,13.75,16,2050
132405,GO_FIRST,Evening,one,Economy,5.0,31,6830
5074,Vistara,Afternoon,one,Economy,7.92,26,7569
273003,Vistara,Night,one,Business,26.5,11,55502
268686,Vistara,Night,one,Business,22.42,24,60978
278199,Air_India,Early_Morning,one,Business,14.08,17,51058
48289,Vistara,Early_Morning,one,Economy,13.17,28,4633
168383,Indigo,Morning,one,Economy,4.08,29,5136
124848,AirAsia,Night,zero,Economy,2.5,34,3999
16490,Vistara,Night,one,Economy,12.17,33,4272
146751,Air_India,Early_Morning,two_or_more,Economy,26.75,38,7662
197317,GO_FIRST,Early_Morning,one,Economy,11.17,44,4612
22633,GO_FIRST,Evening,one,Economy,12.67,16,5954
131700,GO_FIRST,Evening,one,Economy,9.58,27,7958
125348,Air_India,Afternoon,zero,Economy,2.5,37,3962
200126,Vistara,Evening,one,Economy,26.42,24,11803
134757,Air_India,Morning,zero,Economy,3.0,45,3381
105796,Vistara,Morning,one,Economy,13.0,23,8112
237265,Vistara,Afternoon,one,Business,8.08,40,72125
244368,Air_India,Morning,one,Business,5.83,42,31682
166353,Vistara,Evening,zero,Economy,1.0,11,4453
232608,Vistara,Evening,one,Business,16.33,31,69168
123954,Vistara,Morning,one,Economy,11.17,28,10243
161889,Vistara,Morning,one,Economy,10.92,25,5060
274267,Air_India,Evening,one,Business,14.08,39,55087
18645,AirAsia,Morning,one,Economy,11.58,43,3090
188239,Indigo,Afternoon,one,Economy,6.75,8,9190
264780,Vistara,Night,one,Business,18.58,13,62591
195058,Vistara,Night,one,Economy,23.0,18,7240
219087,Vistara,Morning,one,Business,7.42,49,59929
190802,Vistara,Night,zero,Economy,2.08,27,2960
237067,Vistara,Afternoon,one,Business,8.08,38,62045
289603,Vistara,Early_Morning,one,Business,9.75,36,60865
65466,Air_India,Night,one,Economy,11.83,24,3623
225960,Vistara,Morning,one,Business,13.33,11,53152
43543,Vistara,Morning,zero,Economy,2.17,5,5943
81544,Indigo,Morning,one,Economy,8.0,32,1890
220583,Vistara,Morning,zero,Business,2.17,28,24056
204442,Vistara,Morning,one,Economy,35.17,22,6015
24186,Vistara,Afternoon,one,Economy,28.0,24,6578
70565,Vistara,Night,one,Economy,12.75,3,11664
135904,Air_India,Early_Morning,one,Economy,9.25,4,13944
193900,Air_India,Morning,one,Economy,34.0,2,29928
226046,Vistara,Night,one,Business,16.5,12,51372
60360,Air_India,Night,one,Economy,18.75,43,6082
126572,Indigo,Morning,one,Economy,7.33,44,4439
40801,Vistara,Night,one,Economy,15.17,36,5098
178829,Air_India,Night,one,Economy,12.67,31,4128
108038,Air_India,Morning,one,Economy,26.08,38,8072
117259,Vistara,Night,one,Economy,14.17,22,8550
256473,Vistara,Evening,one,Business,16.92,10,56588
137782,GO_FIRST,Evening,one,Economy,14.17,18,6488
261440,Vistara,Early_Morning,zero,Business,2.42,5,28510
267402,Vistara,Evening,one,Business,15.25,3,75023
11648,AirAsia,Afternoon,two_or_more,Economy,11.5,10,25406
228764,Vistara,Early_Morning,one,Business,16.5,38,41269
40961,Vistara,Afternoon,one,Economy,7.58,37,4979
146120,Air_India,Morning,one,Economy,13.17,33,5145
53404,Air_India,Evening,one,Economy,22.25,5,9201
191757,Air_India,Morning,one,Economy,31.5,33,7327
94680,GO_FIRST,Evening,zero,Economy,1.83,6,5177
32680,Air_India,Early_Morning,one,Economy,15.08,31,5232
215949,Vistara,Night,one,Business,23.25,3,61161
90308,GO_FIRST,Night,one,Economy,10.17,32,4028
39144,Vistara,Afternoon,two_or_more,Economy,30.58,26,7490
17649,AirAsia,Evening,zero,Economy,2.75,38,4499
143044,Indigo,Morning,one,Economy,7.17,7,10479
161202,GO_FIRST,Early_Morning,one,Economy,12.58,21,4165
194910,Vistara,Morning,one,Economy,30.25,16,22175
147949,Indigo,Afternoon,zero,Economy,2.17,48,10479
216850,Vistara,Evening,one,Business,14.67,16,67769
130700,GO_FIRST,Morning,one,Economy,12.67,22,5507
288715,Vistara,Night,one,Business,23.25,21,53440
74383,Indigo,Night,one,Economy,3.42,30,3574
258608,Air_India,Night,one,Business,22.33,43,56476
21097,Air_India,Early_Morning,two_or_more,Economy,31.25,7,14266
105260,Indigo,Morning,zero,Economy,2.67,20,3912
267413,Vistara,Morning,one,Business,10.5,4,52287
12565,Vistara,Morning,zero,Economy,2.75,15,4501
242528,Vistara,Evening,one,Business,20.58,16,64173
66162,GO_FIRST,Night,one,Economy,10.75,27,5817
112477,Vistara,Evening,one,Economy,21.33,25,6262
20023,Air_India,Early_Morning,one,Economy,10.5,49,4230
257002,Air_India,Early_Morning,one,Business,17.42,18,56476
44750,Air_India,Early_Morning,one,Economy,16.83,11,12978
91203,Indigo,Morning,zero,Economy,2.75,36,4500
257444,Vistara,Night,one,Business,22.75,25,56588
292302,Air_India,Evening,one,Business,16.08,32,49553
87084,Vistara,Morning,zero,Economy,2.92,17,4502
86850,Vistara,Morning,one,Economy,7.42,16,4526
130644,Vistara,Morning,one,Economy,11.33,21,13661
171581,Air_India,Morning,two_or_more,Economy,30.25,10,13202
203440,Vistara,Morning,one,Economy,10.17,11,16203
269284,Vistara,Morning,one,Business,10.5,34,52287
206198,Indigo,Afternoon,one,Economy,8.33,44,1105
60282,Indigo,Morning,zero,Economy,1.58,43,2124
179117,Vistara,Morning,one,Economy,9.92,34,4674
176644,Indigo,Early_Morning,two_or_more,Economy,15.42,6,7624
44369,Air_India,Morning,one,Economy,10.0,9,17283
77916,Vistara,Night,one,Economy,12.0,6,11129
23646,Vistara,Night,one,Economy,22.25,21,7490
118408,Air_India,Early_Morning,one,Economy,11.42,35,6047
65901,Air_India,Morning,one,Economy,19.75,26,5070
274133,Air_India,Afternoon,one,Business,21.92,36,55087
243750,Vistara,Early_Morning,one,Business,13.75,33,57453
186929,Vistara,Early_Morning,one,Economy,12.83,45,7476
198511,Vistara,Early_Morning,one,Economy,25.67,10,11069
260623,Vistara,Early_Morning,one,Business,9.33,37,60396
267707,Air_India,Night,one,Business,23.58,8,60978
138277,Vistara,Early_Morning,two_or_more,Economy,13.25,21,8111
286365,Vistara,Afternoon,one,Business,20.5,24,58282
265264,Vistara,Night,one,Business,15.17,20,56991
60803,GO_FIRST,Early_Morning,one,Economy,14.33,45,7332
229574,Air_India,Early_Morning,one,Business,14.5,45,63053
249136,Vistara,Early_Morning,one,Business,14.0,7,82281
151403,AirAsia,Night,one,Economy,10.92,37,3961
210946,Vistara,Afternoon,one,Business,9.17,40,53164
100659,Vistara,Morning,one,Economy,7.58,38,6568
23231,Indigo,Early_Morning,one,Economy,6.08,19,5955
176484,AirAsia,Early_Morning,zero,Economy,1.25,4,4874
76715,Air_India,Night,one,Economy,26.08,45,4593
21333,Indigo,Early_Morning,one,Economy,6.25,9,6932
84598,Vistara,Evening,one,Economy,25.42,4,13403
281678,Vistara,Morning,one,Business,10.75,27,38099
44399,Vistara,Early_Morning,zero,Economy,2.17,10,5943
63597,SpiceJet,Evening,one,Economy,13.25,14,7412
292912,Vistara,Evening,one,Business,6.67,41,61873
175551,Air_India,Early_Morning,one,Economy,8.0,43,4789
138565,Vistara,Early_Morning,two_or_more,Economy,25.5,23,8111
279436,Air_India,Morning,one,Business,9.92,36,45883
172218,GO_FIRST,Night,one,Economy,9.67,16,5292
200442,Vistara,Morning,one,Economy,7.08,27,7081
34924,Air_India,Night,one,Economy,23.08,46,6569
230071,Vistara,Morning,one,Business,11.67,2,78240
218730,Air_India,Early_Morning,one,Business,7.83,44,47545
125846,AirAsia,Evening,two_or_more,Economy,13.17,40,3014
101324,AirAsia,Night,zero,Economy,1.83,42,2201
187958,Indigo,Evening,zero,Economy,2.0,6,6827
241092,Air_India,Evening,one,Business,14.0,44,45693
209789,Vistara,Morning,one,Business,23.58,30,41281
197787,Vistara,Night,one,Economy,21.75,49,6437
26804,Indigo,Afternoon,one,Economy,4.17,39,3754
299234,Vistara,Night,one,Business,12.58,30,51457
139082,AirAsia,Early_Morning,one,Economy,10.83,27,3862
75769,Air_India,Morning,one,Economy,10.75,39,3654
201382,Indigo,Night,one,Economy,9.17,38,3365
6176,GO_FIRST,Morning,one,Economy,9.67,31,11810
63640,Vistara,Early_Morning,one,Economy,16.75,14,9879
53973,GO_FIRST,Afternoon,one,Economy,7.92,9,5102
178769,Vistara,Morning,one,Economy,11.42,30,6287
206313,Air_India,Early_Morning,one,Economy,26.83,45,3979
103329,Vistara,Early_Morning,one,Economy,12.58,6,11919
144069,Vistara,Night,one,Economy,15.67,16,6977
62768,Indigo,Evening,one,Economy,5.58,9,11771
264004,Vistara,Evening,one,Business,16.83,2,78495
51966,GO_FIRST,Morning,one,Economy,10.75,45,5970
37503,Vistara,Evening,one,Economy,6.33,17,4979
110685,Indigo,Afternoon,one,Economy,9.08,11,4338
102868,Vistara,Evening,one,Economy,26.92,2,14502
68799,Vistara,Evening,one,Economy,22.33,41,5949
118700,Air_India,Afternoon,one,Economy,10.25,38,7179
169232,Indigo,Early_Morning,one,Economy,3.5,37,2526
44455,Indigo,Early_Morning,one,Economy,5.75,10,7903
34936,AirAsia,Morning,one,Economy,8.17,47,2050
160235,GO_FIRST,Afternoon,one,Economy,5.92,15,4452
112086,Vistara,Evening,one,Economy,18.75,22,6133
225272,Vistara,Night,zero,Business,2.08,5,34460
228356,Air_India,Night,one,Business,6.67,34,47205
297798,Air_India,Night,one,Business,18.17,43,55377
153138,Vistara,Morning,one,Economy,16.42,8,10071
100078,Vistara,Early_Morning,one,Economy,15.08,35,4792
5055,GO_FIRST,Early_Morning,one,Economy,5.58,26,5954
2892,GO_FIRST,Early_Morning,one,Economy,9.5,16,7469
261746,Air_India,Morning,one,Business,8.83,10,42746
1687,Air_India,Early_Morning,zero,Economy,2.08,11,5955
47024,Vistara,Morning,one,Economy,5.08,22,6122
287683,Air_India,Morning,one,Business,28.67,3,53185
166278,Vistara,Night,one,Economy,20.17,10,7927
97412,SpiceJet,Early_Morning,one,Economy,9.0,21,4028
24744,Vistara,Night,zero,Economy,2.25,28,4000
196139,GO_FIRST,Evening,one,Economy,12.58,31,2719
184955,Vistara,Afternoon,one,Economy,10.5,33,4971
293037,Air_India,Evening,one,Business,17.17,43,49553
170693,Vistara,Morning,two_or_more,Economy,7.0,49,6461
271780,Vistara,Morning,one,Business,10.67,33,79817
191694,Vistara,Night,one,Economy,20.58,33,4637
13668,Vistara,Afternoon,one,Economy,5.42,20,4496
67756,Air_India,Early_Morning,one,Economy,15.25,36,4556
271987,Air_India,Morning,one,Business,11.17,37,67441
29264,Vistara,Evening,one,Economy,15.08,6,9840
16728,GO_FIRST,Evening,one,Economy,5.75,34,4020
207492,Vistara,Afternoon,one,Business,6.0,9,53164
216278,Vistara,Afternoon,one,Business,7.08,8,65529
182385,SpiceJet,Night,zero,Economy,2.75,17,3150
114159,Indigo,Evening,one,Economy,5.67,39,1694
176197,Air_India,Evening,one,Economy,26.33,48,6312
175219,Vistara,Evening,one,Economy,25.92,40,5960
14672,Vistara,Evening,one,Economy,25.83,25,3357
151594,SpiceJet,Night,zero,Economy,2.25,39,3453
202564,Air_India,Morning,zero,Economy,2.58,49,2360
298266,Vistara,Night,one,Business,19.92,7,80544
7187,GO_FIRST,Early_Morning,one,Economy,6.08,36,5584
292752,Vistara,Morning,one,Business,5.75,39,49553
29078,Vistara,Morning,one,Economy,24.0,4,11310
207476,Air_India,Morning,one,Business,30.08,9,44622
77543,Vistara,Evening,one,Economy,28.25,3,11129
31550,Air_India,Evening,one,Economy,28.33,23,5674
140326,AirAsia,Early_Morning,one,Economy,11.08,35,5792
204836,AirAsia,Night,one,Economy,10.75,29,1550
271234,Air_India,Morning,one,Business,25.5,22,52063
180991,Indigo,Morning,one,Economy,6.33,7,7877
164180,Vistara,Night,one,Economy,15.0,40,4266
102492,Vistara,Early_Morning,one,Economy,15.08,48,4792
99254,Vistara,Morning,one,Economy,12.33,30,7323
236718,Vistara,Early_Morning,one,Business,13.08,33,57565
246611,Vistara,Morning,one,Business,8.58,24,54841
106032,Air_India,Early_Morning,one,Economy,29.42,25,5007
85307,Indigo,Morning,one,Economy,5.92,8,14261
70554,Vistara,Afternoon,one,Economy,10.5,3,10593
86587,Indigo,Morning,zero,Economy,2.75,15,7488
69582,GO_FIRST,Morning,one,Economy,5.5,45,6619
279207,Vistara,Night,one,Business,21.08,32,58315
297255,Air_India,Night,one,Business,16.17,31,55377
291166,Air_India,Morning,one,Business,12.25,15,49553
152768,Indigo,Morning,one,Economy,5.33,4,12748
97113,Vistara,Morning,one,Economy,11.33,19,6568
123958,GO_FIRST,Evening,one,Economy,8.42,28,13386
5746,Vistara,Afternoon,zero,Economy,2.17,30,2700
173218,GO_FIRST,Night,one,Economy,9.67,24,5292
36376,Vistara,Evening,one,Economy,6.33,10,12045
105355,Vistara,Early_Morning,one,Economy,11.58,20,8112
190387,Indigo,Afternoon,one,Economy,8.5,24,3458
146357,Vistara,Morning,one,Economy,9.67,35,5760
30433,Vistara,Morning,one,Economy,24.0,15,6412
265864,Vistara,Afternoon,one,Business,5.92,28,64831
266198,Air_India,Night,one,Business,23.5,33,50271
81383,Indigo,Evening,one,Economy,6.58,31,1890
2514,GO_FIRST,Evening,zero,Economy,2.08,15,2410
223276,Vistara,Early_Morning,zero,Business,2.75,24,27864
87502,Indigo,Early_Morning,one,Economy,5.75,19,3788
178324,GO_FIRST,Afternoon,zero,Economy,1.17,26,1543
90972,Air_India,Early_Morning,one,Economy,12.58,35,4294
138523,Indigo,Afternoon,one,Economy,5.67,23,6332
82186,Air_India,Evening,one,Economy,13.92,36,4417
291853,Vistara,Morning,one,Business,6.92,25,61873
254407,Vistara,Evening,one,Business,22.42,26,51817
297657,Air_India,Morning,one,Business,23.08,40,55377
242080,Vistara,Evening,one,Business,25.75,10,64173
218235,Air_India,Night,zero,Business,2.08,37,27976
80734,Air_India,Night,one,Economy,11.42,26,4417
81926,Air_India,Early_Morning,one,Economy,17.0,34,5749
280390,Vistara,Morning,one,Business,10.08,3,85593
62781,Air_India,Early_Morning,one,Economy,14.33,9,12348
244049,Vistara,Morning,one,Business,11.5,37,64173
64492,GO_FIRST,Evening,one,Economy,13.42,18,7304
240190,Air_India,Early_Morning,one,Business,12.33,32,45693
196210,Air_India,Early_Morning,one,Economy,13.92,31,6623
24284,SpiceJet,Early_Morning,zero,Economy,2.08,25,4000
64274,AirAsia,Early_Morning,one,Economy,12.17,17,6878
114400,Vistara,Afternoon,two_or_more,Economy,31.17,40,8268
201649,SpiceJet,Morning,one,Economy,11.58,40,4485
238125,Vistara,Evening,one,Business,13.92,3,84557
63909,Vistara,Afternoon,one,Economy,17.83,15,12557
131234,SpiceJet,Early_Morning,one,Economy,15.0,25,5339
238198,Air_India,Night,one,Business,23.08,5,45693
86393,AirAsia,Afternoon,two_or_more,Economy,10.67,14,7484
63626,Air_India,Morning,one,Economy,10.25,14,9526
141878,Vistara,Morning,two_or_more,Economy,12.42,45,8111
290582,Air_India,Early_Morning,one,Business,11.83,6,49553
130566,Vistara,Evening,one,Economy,21.75,21,6067
8373,Indigo,Afternoon,one,Economy,8.33,42,2410
21406,Vistara,Morning,one,Economy,8.0,9,14880
124649,Indigo,Morning,one,Economy,7.08,33,2994
244166,Air_India,Night,one,Business,15.17,39,49613
168146,Vistara,Night,one,Economy,11.25,27,5441
54706,GO_FIRST,Night,one,Economy,10.0,13,5102
234681,Air_India,Afternoon,one,Business,22.92,9,49725
91205,SpiceJet,Evening,zero,Economy,2.75,36,4500
260682,Vistara,Early_Morning,one,Business,14.75,38,60396
247393,Vistara,Early_Morning,one,Business,7.83,34,42521
266138,Vistara,Early_Morning,one,Business,28.33,32,59254
221990,Air_India,Afternoon,one,Business,7.5,4,47657
24003,GO_FIRST,Night,one,Economy,10.5,23,6395
244457,Air_India,Evening,one,Business,14.92,43,49613
92050,Indigo,Early_Morning,one,Economy,9.0,40,4071
199298,Air_India,Morning,one,Economy,23.08,17,6569
53379,Air_India,Night,one,Economy,26.0,5,8148
234210,Air_India,Afternoon,one,Business,27.17,2,54306
171112,Indigo,Afternoon,one,Economy,7.25,6,6663
283432,Vistara,Night,one,Business,22.33,11,57083
227952,Vistara,Early_Morning,one,Business,5.67,30,53152
221042,Air_India,Evening,zero,Business,2.08,36,23944
32391,Vistara,Night,one,Economy,12.42,29,5761
240479,Vistara,Afternoon,one,Business,10.5,36,45805
299520,Vistara,Early_Morning,one,Business,24.83,36,41064
143540,Indigo,Evening,one,Economy,7.92,11,12527
61414,Indigo,Early_Morning,one,Economy,4.75,49,3017
112441,Vistara,Evening,one,Economy,16.33,25,5322
123596,Air_India,Evening,one,Economy,18.08,26,8069
250665,Air_India,Early_Morning,one,Business,9.08,25,42622
116256,Vistara,Evening,one,Economy,15.92,11,9241
48317,Air_India,Evening,one,Economy,28.0,28,5495
286428,Vistara,Afternoon,one,Business,9.83,25,79349
189266,Indigo,Evening,zero,Economy,1.92,16,3572
209468,Air_India,Afternoon,one,Business,8.92,27,49896
213528,Air_India,Morning,one,Business,24.5,21,42457
40358,Vistara,Morning,two_or_more,Economy,14.0,33,8719
100746,GO_FIRST,Afternoon,one,Economy,9.58,38,9306
2802,Vistara,Night,one,Economy,17.92,16,4678
269861,Vistara,Evening,one,Business,25.67,43,52287
101669,Vistara,Morning,one,Economy,11.5,43,7212
157906,AirAsia,Morning,one,Economy,11.58,45,2228
126724,Indigo,Morning,zero,Economy,2.33,45,4389
298027,Vistara,Early_Morning,one,Business,9.92,49,54896
32675,AirAsia,Evening,one,Economy,13.75,31,5149
129323,AirAsia,Early_Morning,one,Economy,14.58,14,8111
101517,Indigo,Early_Morning,one,Economy,6.25,43,2201
63003,SpiceJet,Early_Morning,zero,Economy,2.67,11,7412
165141,Air_India,Afternoon,one,Economy,11.33,46,4637
1253,Air_India,Morning,one,Economy,7.25,8,13441
135349,Vistara,Early_Morning,one,Economy,9.33,48,6067
93338,Vistara,Night,one,Economy,12.0,46,4796
16088,Vistara,Afternoon,one,Economy,6.42,31,4496
199603,Indigo,Afternoon,zero,Economy,2.33,20,4963
70014,Air_India,Morning,two_or_more,Economy,23.08,48,4914
50102,Indigo,Early_Morning,zero,Economy,2.08,37,2339
3055,Indigo,Evening,one,Economy,5.33,17,5849
58455,Indigo,Night,zero,Economy,1.75,33,2124
162345,Vistara,Morning,one,Economy,10.92,28,5060
296953,Vistara,Evening,one,Business,26.42,24,69489
42743,Indigo,Early_Morning,one,Economy,7.25,48,2050
245506,Vistara,Morning,zero,Business,2.67,11,32923
122594,AirAsia,Evening,one,Economy,16.67,21,3014
21968,Vistara,Early_Morning,one,Economy,12.42,12,13830
150571,GO_FIRST,Evening,two_or_more,Economy,15.25,28,13386
10533,Vistara,Evening,one,Economy,29.67,4,12222
64184,SpiceJet,Early_Morning,one,Economy,15.67,17,5289
80110,Vistara,Morning,one,Economy,8.33,22,4348
186904,SpiceJet,Early_Morning,one,Economy,15.08,45,5100
226907,Vistara,Morning,one,Business,14.17,20,80458
1929,GO_FIRST,Night,one,Economy,11.25,12,5954
278246,Vistara,Early_Morning,one,Business,16.0,18,45995
163443,Air_India,Morning,one,Economy,10.83,35,4783
228390,Air_India,Morning,one,Business,14.42,34,53152
170998,Indigo,Early_Morning,one,Economy,10.58,5,5293
7688,Vistara,Afternoon,zero,Economy,2.17,39,2700
